country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,cars,2014,municipality,0114,Upplands Väsby,407.74,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0115,Vallentuna,461.75,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0117,Österåker,451.75,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0120,Värmdö,426.36,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0123,Järfälla,387.3,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0125,Ekerö,460.82,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0126,Huddinge,348.36,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0127,Botkyrka,320.81,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0128,Salem,384.23,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0136,Haninge,366.85,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0138,Tyresö,375.42,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0139,Upplands-Bro,408.15,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0140,Nykvarn,503.8,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0160,Täby,428.87,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0162,Danderyd,523.61,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0163,Sollentuna,444.24,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0180,Stockholm,361.7,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0181,Södertälje,395.54,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0182,Nacka,467.27,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0183,Sundbyberg,275.84,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0184,Solna,568.81,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0186,Lidingö,377.79,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0187,Vaxholm,424.91,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0188,Norrtälje,525.09,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0191,Sigtuna,404.18,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0192,Nynäshamn,425.54,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0305,Håbo,503.99,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0319,Älvkarleby,513.12,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0330,Knivsta,478.07,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0331,Heby,564.47,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0360,Tierp,526.47,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0380,Uppsala,383.12,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0381,Enköping,524.06,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
sweden,cars,2014,municipality,0382,Östhammar,548.01,cars-per-1000-residents,provenance/sweden_public_manifest.json,country_local
