country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,education,2014,municipality,0114,Upplands Väsby,31.48,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0115,Vallentuna,35.9,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0117,Österåker,34.62,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0120,Värmdö,34.45,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0123,Järfälla,36.97,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0125,Ekerö,40.34,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0126,Huddinge,36.51,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0127,Botkyrka,28.38,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0128,Salem,35.43,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0136,Haninge,26.37,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0138,Tyresö,34.28,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0139,Upplands-Bro,30.46,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0140,Nykvarn,27.5,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0160,Täby,51.51,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0162,Danderyd,61.81,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0163,Sollentuna,47.51,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0180,Stockholm,51.03,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0181,Södertälje,28.49,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0182,Nacka,47.92,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0183,Sundbyberg,42.09,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0184,Solna,53.49,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0186,Lidingö,54.74,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0187,Vaxholm,44.77,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0188,Norrtälje,24.04,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0191,Sigtuna,29.45,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0192,Nynäshamn,25.41,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0305,Håbo,26.0,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0319,Älvkarleby,20.92,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0330,Knivsta,41.45,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0331,Heby,18.38,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0360,Tierp,19.77,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0380,Uppsala,50.73,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0381,Enköping,27.29,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0382,Östhammar,21.37,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0428,Vingåker,17.81,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0461,Gnesta,26.94,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0480,Nyköping,29.25,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0481,Oxelösund,21.78,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0482,Flen,21.29,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0483,Katrineholm,24.15,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0484,Eskilstuna,29.11,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0486,Strängnäs,31.0,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0488,Trosa,27.43,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0509,Ödeshög,20.23,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0512,Ydre,24.68,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0513,Kinda,23.68,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0560,Boxholm,19.15,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0561,Åtvidaberg,21.74,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0562,Finspång,23.63,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0563,Valdemarsvik,18.96,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0580,Linköping,45.82,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0581,Norrköping,31.18,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0582,Söderköping,27.91,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0583,Motala,24.31,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0584,Vadstena,28.93,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0586,Mjölby,24.74,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0604,Aneby,23.03,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0617,Gnosjö,17.33,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0642,Mullsjö,25.06,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0643,Habo,30.81,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0662,Gislaved,18.7,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0665,Vaggeryd,23.1,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0680,Jönköping,35.96,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0682,Nässjö,24.16,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0683,Värnamo,24.97,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0684,Sävsjö,22.14,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0685,Vetlanda,22.28,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0686,Eksjö,29.35,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0687,Tranås,23.73,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0760,Uppvidinge,19.15,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0761,Lessebo,22.48,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0763,Tingsryd,20.97,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0764,Alvesta,23.73,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0765,Älmhult,27.89,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0767,Markaryd,17.97,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0780,Växjö,39.7,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0781,Ljungby,24.41,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0821,Högsby,18.89,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0834,Torsås,21.86,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0840,Mörbylånga,32.49,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0860,Hultsfred,19.42,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0861,Mönsterås,22.28,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0862,Emmaboda,22.43,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0880,Kalmar,37.8,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0881,Nybro,22.65,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0882,Oskarshamn,25.61,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0883,Västervik,25.85,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0884,Vimmerby,20.62,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0885,Borgholm,25.21,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,0980,Gotland,28.59,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,1060,Olofström,20.75,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,1080,Karlskrona,37.51,pct,provenance/sweden_public_manifest.json,family_mapped
sweden,education,2014,municipality,1081,Ronneby,27.29,pct,provenance/sweden_public_manifest.json,family_mapped
