country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,employment,2022,municipality,0114,Upplands Väsby,81.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0115,Vallentuna,86.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0117,Österåker,85.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0120,Värmdö,86.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0123,Järfälla,81.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0125,Ekerö,84.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0126,Huddinge,80.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0127,Botkyrka,76.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0128,Salem,85.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0136,Haninge,81.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0138,Tyresö,84.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0139,Upplands-Bro,81.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0140,Nykvarn,89.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0160,Täby,85.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0162,Danderyd,81.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0163,Sollentuna,82.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0180,Stockholm,81.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0181,Södertälje,77.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0182,Nacka,85.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0183,Sundbyberg,82.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0184,Solna,80.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0186,Lidingö,83.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0187,Vaxholm,85.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0188,Norrtälje,82.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0191,Sigtuna,79.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0192,Nynäshamn,81.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0305,Håbo,86.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0319,Älvkarleby,81.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0330,Knivsta,87.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0331,Heby,82.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0360,Tierp,81.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0380,Uppsala,77.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0381,Enköping,84.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0382,Östhammar,86.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0428,Vingåker,80.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0461,Gnesta,83.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0480,Nyköping,81.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0481,Oxelösund,81.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0482,Flen,75.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0483,Katrineholm,79.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0484,Eskilstuna,77.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0486,Strängnäs,83.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0488,Trosa,85.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0509,Ödeshög,84.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0512,Ydre,85.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0513,Kinda,85.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0560,Boxholm,85.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0561,Åtvidaberg,85.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0562,Finspång,81.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0563,Valdemarsvik,81.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0580,Linköping,77.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0581,Norrköping,80.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0582,Söderköping,86.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0583,Motala,81.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0584,Vadstena,82.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,employment,2022,municipality,0586,Mjölby,84.7,pct,provenance/sweden_public_manifest.json,country_local
