country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,population,2014,municipality,0114,Upplands Väsby,41804,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0115,Vallentuna,31909,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0117,Österåker,41078,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0120,Värmdö,40318,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0123,Järfälla,70418,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0125,Ekerö,26631,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0126,Huddinge,104139,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0127,Botkyrka,88802,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0128,Salem,16092,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0136,Haninge,82148,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0138,Tyresö,45144,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0139,Upplands-Bro,25258,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0140,Nykvarn,9728,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0160,Täby,67400,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0162,Danderyd,32295,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0163,Sollentuna,69260,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0180,Stockholm,912401,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0181,Södertälje,92041,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0182,Nacka,95842,people,provenance/sweden_public_manifest.json,country_local
sweden,population,2014,municipality,0183,Sundbyberg,43841,people,provenance/sweden_public_manifest.json,country_local
