country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,rented_accommodation,2014,municipality,114,Upplands Väsby,30.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,115,Vallentuna,3.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,117,Österåker,12.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,120,Värmdö,10.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,123,Järfälla,25.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,125,Ekerö,10.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,126,Huddinge,27.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,127,Botkyrka,40.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,128,Salem,15.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,136,Haninge,26.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,138,Tyresö,19.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,139,Upplands-Bro,22.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,140,Nykvarn,15.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,160,Täby,5.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,162,Danderyd,9.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,163,Sollentuna,20.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,180,Stockholm,40.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,181,Södertälje,50.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,182,Nacka,15.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,183,Sundbyberg,51.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,184,Solna,34.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,186,Lidingö,21.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,187,Vaxholm,10.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,188,Norrtälje,16.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,191,Sigtuna,37.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,192,Nynäshamn,27.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,305,Håbo,16.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,319,Älvkarleby,21.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,330,Knivsta,10.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,331,Heby,14.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,360,Tierp,23.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,380,Uppsala,28.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,381,Enköping,22.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,382,Östhammar,15.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,428,Vingåker,23.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,461,Gnesta,22.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,480,Nyköping,28.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,481,Oxelösund,26.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,482,Flen,31.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,483,Katrineholm,38.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,484,Eskilstuna,41.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,486,Strängnäs,27.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,488,Trosa,20.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,509,Ödeshög,17.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,512,Ydre,13.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,513,Kinda,21.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,560,Boxholm,17.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,561,Åtvidaberg,20.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,562,Finspång,25.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,563,Valdemarsvik,20.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,580,Linköping,42.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,581,Norrköping,42.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,582,Söderköping,25.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,583,Motala,33.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,584,Vadstena,28.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,rented_accommodation,2014,municipality,586,Mjölby,27.6,pct,provenance/sweden_public_manifest.json,country_local
