country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
sweden,unemployment,2022,municipality,0114,Upplands Väsby,12.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0115,Vallentuna,6.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0117,Österåker,7.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0120,Värmdö,7.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0123,Järfälla,13.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0125,Ekerö,5.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0126,Huddinge,11.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0127,Botkyrka,16.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0128,Salem,9.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0136,Haninge,12.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0138,Tyresö,8.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0139,Upplands-Bro,13.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0140,Nykvarn,7.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0160,Täby,6.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0162,Danderyd,5.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0163,Sollentuna,10.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0180,Stockholm,10.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0181,Södertälje,17.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0182,Nacka,7.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0183,Sundbyberg,11.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0184,Solna,7.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0186,Lidingö,6.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0187,Vaxholm,6.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0188,Norrtälje,9.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0191,Sigtuna,14.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0192,Nynäshamn,11.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0305,Håbo,8.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0319,Älvkarleby,13.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0330,Knivsta,7.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0331,Heby,11.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0360,Tierp,12.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0380,Uppsala,10.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0381,Enköping,11.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0382,Östhammar,7.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0428,Vingåker,13.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0461,Gnesta,8.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0480,Nyköping,13.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0481,Oxelösund,14.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0482,Flen,17.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0483,Katrineholm,14.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0484,Eskilstuna,17.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0486,Strängnäs,10.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0488,Trosa,7.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0509,Ödeshög,10.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0512,Ydre,6.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0513,Kinda,8.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0560,Boxholm,9.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0561,Åtvidaberg,8.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0562,Finspång,13.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0563,Valdemarsvik,11.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0580,Linköping,9.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0581,Norrköping,15.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0582,Söderköping,8.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0583,Motala,13.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0584,Vadstena,9.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0586,Mjölby,9.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0604,Aneby,11.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0617,Gnosjö,8.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0642,Mullsjö,8.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0643,Habo,6.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0662,Gislaved,10.6,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0665,Vaggeryd,9.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0680,Jönköping,9.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0682,Nässjö,13.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0683,Värnamo,9.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0684,Sävsjö,11.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0685,Vetlanda,10.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0686,Eksjö,10.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0687,Tranås,11.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0760,Uppvidinge,12.7,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0761,Lessebo,18.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0763,Tingsryd,12.0,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0764,Alvesta,13.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0765,Älmhult,11.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0767,Markaryd,12.3,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0780,Växjö,11.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0781,Ljungby,10.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0821,Högsby,14.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0834,Torsås,11.4,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0840,Mörbylånga,6.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0860,Hultsfred,13.9,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0861,Mönsterås,10.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0862,Emmaboda,12.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0880,Kalmar,10.8,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0881,Nybro,12.2,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0882,Oskarshamn,11.1,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0883,Västervik,11.5,pct,provenance/sweden_public_manifest.json,country_local
sweden,unemployment,2022,municipality,0884,Vimmerby,9.3,pct,provenance/sweden_public_manifest.json,country_local
