country_id,election_type,election_year,public_geography_type,public_geography_id,municipality,party_id,party,share,source_name,provenance_ref
sweden,riksdag,2022,municipality,1440,Ale,alternativ-for-sverige,Alternativ för Sverige,0.11,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,arbetarepartiet-socialdemokraterna,Arbetarepartiet-Socialdemokraterna,9.89,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,centerpartiet,Centerpartiet,1.74,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,direktdemokraterna,Direktdemokraterna,0.01,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,enhet,Enhet,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,feministiskt-initiativ,Feministiskt initiativ,0.04,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,forenade-demokratiska-partiet,Förenade Demokratiska Partiet,0.01,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,kalle-ankapartiet,Kalle ankapartiet,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,klassiskt-liberala-partiet,Klassiskt liberala partiet,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,klimatalliansen,Klimatalliansen,0.01,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,knapptryckarna,Knapptryckarna,0.02,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,kristdemokraterna,Kristdemokraterna,1.87,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,kristna-vardepartiet,Kristna Värdepartiet,0.03,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,liberalerna-tidigare-folkpartiet,Liberalerna (tidigare Folkpartiet),1.1,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,medborgerlig-samling,Medborgerlig Samling,0.07,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,miljopartiet-de-grona,Miljöpartiet de gröna,1.18,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,mod,MoD,0.04,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,moderaterna,Moderaterna,6.05,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,partiet-nyans,Partiet Nyans,0.18,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,piratpartiet,Piratpartiet,0.03,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,politiskt-skifte,Politiskt Skifte,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,skp,SKP,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,summa-giltiga-roster,Summa giltiga röster,33.09,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,sverigedemokraterna,Sverigedemokraterna,8.5,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,valdeltagande,Valdeltagande,33.45,Valmyndigheten,provenance/sweden_public_2022_manifest.json
sweden,riksdag,2022,municipality,1440,Ale,volt-sverige,Volt Sverige,0.0,Valmyndigheten,provenance/sweden_public_2022_manifest.json
